"region","palmitic","palmitoleic","stearic","oleic","linoleic","linolenic","arachidic","eicosenoic"
"337","Southern Italy",13.23,1.47,2.1,71.08,10.7,0.33,0.61,0.2
"338","Southern Italy",12.69,1.57,1.93,71.4,11.48,0.31,0.4,0.18
"339","Southern Italy",14.01,1.51,2.38,71.64,8.57,0.45,0.72,0.36
"340","Northern Italy",10.5,0.78,1.75,79.9,6.1,0.18,0.59,0.03
"341","Northern Italy",10.65,0.75,1.8,79.75,6.1,0.25,0.5,0.03
"342","Southern Italy",14.76,1.87,2.03,68.37,11.97,0.36,0.48,0.22
"343","Southern Italy",14.01,2,2.17,69.8,10.73,0.4,0.68,0.21
"344","Southern Italy",11.83,1.46,2.92,75.8,6.18,0.38,0.51,0.23
"345","Southern Italy",13.61,1.63,1.96,68.88,12.73,0.37,0.58,0.24
"346","Sardinia",10.95,0.88,2.03,74.15,10.93,0.37,0.78,0.01
"347","Southern Italy",12.94,1.59,2.53,70.09,11.9,0.3,0.52,0.13
"348","Southern Italy",13.34,1.86,2.29,72.61,8.27,0.34,0.56,0.2
"349","Northern Italy",12,0.9,2.4,78.2,5.9,0.1,0.5,0.02
"350","Southern Italy",13.41,1.55,2.44,69.58,11.44,0.32,0.68,0.26
"351","Sardinia",11.65,0.99,2.14,73.31,11.01,0.22,0.67,0.03
"352","Northern Italy",6.1,0.8,2.3,84.1,6.5,0,0.2,0.03
"353","Southern Italy",13.5,1.68,2.27,69.86,11.65,0.29,0.58,0.17
"354","Northern Italy",11.7,1,2.8,77.1,6.4,0.2,0.7,0.03
"355","Southern Italy",14.42,2.22,1.94,66.77,13.14,0.36,0.72,0.38
"356","Southern Italy",13.3,1.57,2.28,70.55,11.08,0.42,0.55,0.25
"357","Southern Italy",13.51,1.79,1.86,69.35,12.43,0.36,0.5,0.19
"358","Northern Italy",10.7,1,2.3,76,9.9,0.1,0,0.01
"359","Northern Italy",11,0.8,2.4,78.2,6.7,0.2,0.7,0.02
"360","Southern Italy",9.26,0.41,2.77,78.15,7.84,0.45,0.65,0.25
"361","Northern Italy",10.5,1,2.5,79.3,6.3,0.1,0.3,0.03
"362","Sardinia",10.51,0.78,2.11,74.21,11.46,0.3,0.82,0.02
"363","Northern Italy",10.7,0.75,1.88,79.8,6.02,0.22,0.45,0.02
"364","Southern Italy",12.63,1.55,1.99,71.4,11.48,0.31,0.42,0.18
"365","Southern Italy",13.01,1.56,2.07,70.03,12.29,0.41,0.48,0.14
"366","Southern Italy",15.9,2.41,1.95,67.05,11.49,0.27,0.68,0.21
"367","Northern Italy",11.5,0.9,2.3,77.9,6.5,0.3,0.6,0.01
"368","Southern Italy",9.8,0.53,2.54,77.19,8.15,0.44,0.69,0.47
"369","Southern Italy",13.47,1.56,2.14,68.5,13.13,0.25,0.48,0.19
"370","Sardinia",10.8,1.2,2.18,72.96,11.45,0.35,1.05,0.02
"371","Southern Italy",9.11,0.54,2.46,81.13,5.49,0.31,0.63,0.29
"372","Sardinia",11.76,0.92,2.07,73.47,10.57,0.35,0.82,0.01
"373","Southern Italy",12.35,1.38,2.52,73.22,8.61,0.54,0.66,0.36
"374","Northern Italy",10.1,0.9,3.5,74.8,10.5,0.1,0.1,0.01
"375","Southern Italy",13.68,1.61,1.98,70.3,10.95,0.33,0.59,0.31
"376","Northern Italy",10.5,0.7,1.7,79.77,6.05,0.28,0.65,0.01
"377","Southern Italy",14.3,2.09,2.25,68,12,0.32,0.59,0.27
"378","Southern Italy",13.72,2,2,69.16,11.89,0.33,0.5,0.22
"379","Northern Italy",10.95,0.58,1.98,79.5,6.02,0.35,0.32,0.01
"380","Sardinia",11.58,1.08,2.45,70.65,13.26,0.22,0.75,0.01
"381","Southern Italy",12.45,0.72,2.83,73.95,8.29,0.44,0.67,0.28
"382","Northern Italy",11.4,0.9,2.4,78.8,5.7,0.2,0.6,0.03
"383","Southern Italy",11.84,1.12,3.11,73.91,8.19,0.48,0.57,0.28
"384","Northern Italy",9.9,1.2,2.5,77.5,8.7,0.1,0.1,0.02
"385","Sardinia",10.84,0.96,2.4,71.64,13.3,0.28,0.57,0.01
"386","Southern Italy",12.25,1.34,2.32,76.58,6.16,0.36,0.49,0.26
"387","Southern Italy",14.38,2.06,2.48,68.06,11.83,0.34,0.57,0.28
"388","Southern Italy",11.69,0.76,3.07,75.53,7.28,0.43,0.69,0.32
"389","Northern Italy",11,1.2,2.8,76.3,7.7,0.1,0.1,0.02
"390","Southern Italy",13.94,1.64,2.23,70.86,10.42,0.24,0.43,0.23
"391","Southern Italy",13.8,1.73,1.88,70.38,11.39,0.31,0.44,0.14
"392","Southern Italy",14.97,2.47,2.19,66.21,12.7,0.36,0.73,0.32
"393","Southern Italy",17.42,2.21,1.56,64.15,13.15,0.43,0.82,0.23
"394","Sardinia",10.96,1,2.6,71.62,12.82,0.25,0.74,0.02
"395","Northern Italy",11.7,1.1,2.4,77.3,6.3,0.3,0.9,0.01
"396","Northern Italy",9.6,0.9,2,78.1,9.4,0,0,0.02
"397","Sardinia",10.85,0.91,2.23,73.84,11.26,0.28,0.62,0.03
"398","Southern Italy",14.6,2.15,1.97,69.18,10.81,0.28,0.55,0.23
"399","Northern Italy",11.9,1.5,2.9,73.4,10.2,0,0.1,0.02
"400","Northern Italy",10.8,0.7,1.88,79.65,6.08,0.28,0.36,0.03
"401","Southern Italy",14.72,2.18,2.14,67.24,12.38,0.29,0.53,0.23
"402","Northern Italy",12.4,1.5,2.5,76.1,7.3,0.1,0.1,0.01
"403","Southern Italy",11.55,0.98,2.01,76.06,8.16,0.32,0.6,0.29
"404","Sardinia",11.15,0.96,2.36,70.85,13.72,0.2,0.75,0.02
"405","Sardinia",10.98,0.88,2.12,73.38,11.4,0.28,0.67,0.01
"406","Southern Italy",14.57,1.82,2.67,70.2,8.63,0.41,0.84,0.37
"407","Southern Italy",14.47,1.76,1.89,68.49,11.8,0.42,0.64,0.26
"408","Northern Italy",11.5,0.8,2.4,78,6.3,0.3,0.7,0.02
"409","Northern Italy",11,0.7,2,79.1,6.1,0.39,0.44,0.01
"410","Southern Italy",14.89,2.15,2.42,67.77,11.45,0.3,0.6,0.22
"411","Southern Italy",13.06,1.27,2.5,72.54,8.69,0.47,0.68,0.24
"412","Northern Italy",11.2,1,2.5,76.8,7.3,0.4,0.7,0.02
"413","Southern Italy",13,1.87,1.96,69.2,12.53,0.41,0.76,0.25
"414","Sardinia",10.4,1.01,2.05,73.68,11.76,0.25,0.85,0.03
"415","Sardinia",10.92,1.04,2.34,73.55,11.26,0.28,0.58,0.02
"416","Sardinia",11.29,1.08,2.12,73.86,10.74,0.28,0.62,0.03
"417","Northern Italy",10.3,1,2.3,77.4,9,0,0,0.02
"418","Southern Italy",12.54,1.18,2.44,73.94,7.86,0.46,0.71,0.24
"419","Southern Italy",12.41,0.97,2.68,74.99,7.09,0.52,0.69,0.36
"420","Sardinia",11.59,1.1,2.61,70.68,12.97,0.27,0.77,0.02
"421","Sardinia",10.51,1.08,2.27,74.03,11.14,0.3,0.66,0.03
"422","Sardinia",10.87,0.89,2.43,72,13.02,0.18,0.6,0.01
"423","Southern Italy",16.79,2.6,1.77,65.68,11.91,0.3,0.59,0.33
"424","Southern Italy",16.92,2.7,2.34,64.99,11.96,0.31,0.59,0.15
"425","Southern Italy",12.13,1.09,3.01,72.61,9.25,0.47,0.65,0.31
"426","Northern Italy",10.85,0.6,1.9,79.55,6.02,0.3,0.53,0.01
"427","Sardinia",11.03,0.78,2.2,73.65,11.49,0.2,0.65,0.02
"428","Southern Italy",14.34,1.72,2.55,66.46,13.54,0.27,0.59,0.25
"429","Northern Italy",11.1,1.3,2.1,75.5,10,0,0,0.01
"430","Northern Italy",10.8,0.65,1.89,79.6,6.02,0.35,0.2,0.01
"431","Sardinia",11.6,0.96,2.4,70.43,13.57,0.24,0.79,0.02
"432","Sardinia",10.91,1.08,2.18,73.83,11.83,0.28,0.88,0.03
"433","Sardinia",11.84,1.05,2.58,70.2,13.4,0.26,0.66,0.02
"434","Southern Italy",14.63,1.64,1.85,69.09,11.54,0.49,0.58,0.17
"435","Sardinia",10.7,0.98,2.15,72.8,12.4,0.28,0.68,0.03
"436","Sardinia",11.35,0.94,2.35,71.23,13.2,0.24,0.67,0.02
"437","Northern Italy",9.8,0.9,3.3,75.4,10.4,0,0,0.02
"438","Northern Italy",12.2,0.8,2.2,75.4,7.7,0.6,1,0.02
"439","Northern Italy",10.75,0.7,1.98,79.78,6.08,0.28,0.33,0.02
"440","Northern Italy",11.4,1.8,2.2,76.1,8.5,0.1,0.1,0.02
"441","Southern Italy",14.91,1.62,2.11,69.94,9.28,0.37,0.97,0.38
"442","Southern Italy",14.69,1.6,3.37,66.75,11.27,0.44,0.94,0.36
"443","Southern Italy",12.06,0.55,2.87,73.29,9.35,0.44,0.74,0.42
"444","Southern Italy",14.71,1.88,2.76,66.97,12.69,0.34,0.51,0.16
"445","Sardinia",10.59,0.96,2.28,73.86,11.28,0.25,0.72,0.02
"446","Southern Italy",13.21,1.36,2.17,71.74,9.5,0.43,0.63,0.3
"447","Southern Italy",14.44,1.75,2.59,68.76,10.27,0.34,0.78,0.32
"448","Sardinia",10.75,0.91,2,74.1,11.07,0.36,0.8,0.01
"449","Sardinia",11.75,1.08,2.14,70.76,13.07,0.33,0.85,0.02
"450","Sardinia",11.66,0.97,2.72,69.71,13.9,0.2,0.83,0.03
"451","Southern Italy",13.07,1.97,2.38,70.03,11.44,0.37,0.5,0.24
"452","Northern Italy",9.8,1.1,3,77.2,9.1,0.1,0,0.03
"453","Southern Italy",14.34,1.85,1.89,67.71,12.69,0.3,0.62,0.25
"454","Sardinia",11.29,1.2,2.22,72.72,11.12,0.43,0.98,0.02
"455","Southern Italy",12.62,0.88,3.01,74.71,7.04,0.43,0.71,0.31
"456","Southern Italy",14.45,1.74,2.28,68.75,11.23,0.29,0.69,0.31
"457","Sardinia",11.28,0.82,2.03,73.2,11.48,0.3,0.88,0.01
"458","Southern Italy",14.08,1.76,1.92,69.09,11.95,0.45,0.5,0.25
"459","Southern Italy",11.98,1.36,2.39,76.39,6.33,0.27,0.55,0.19
"460","Northern Italy",10.2,1,2.2,75.3,10.3,0,0,0.03
"461","Sardinia",11.38,1.01,2.54,71.03,13.1,0.25,0.68,0.01
"462","Northern Italy",10.6,0.75,1.75,79.75,6.1,0.2,0.55,0.02
"463","Southern Italy",13.05,1.72,1.69,70.04,12.6,0.28,0.5,0.11
"464","Southern Italy",13.11,1.66,1.7,69.02,13.12,0.41,0.69,0.28
"465","Northern Italy",10.95,0.55,2,79.4,6,0.35,0.45,0.03
"466","Sardinia",10.95,1.04,2.23,73.67,11.11,0.43,0.56,0.02
"467","Sardinia",11.31,0.78,2.21,73.58,11.2,0.22,0.69,0.02
"468","Southern Italy",13.64,2.04,2.25,69.29,10.84,0.21,0.5,0.14
"469","Sardinia",10.95,1.25,2.5,71.2,13.05,0.21,0.83,0.01
"470","Southern Italy",13.27,1.29,2.47,70.24,11.57,0.38,0.56,0.22
"471","Southern Italy",13.1,1.8,1.83,70.54,12.02,0.26,0.32,0.12
"472","Southern Italy",14.19,1.92,2.07,69.96,10.14,0.36,0.7,0.36
"473","Southern Italy",14.57,1.68,2.42,67.24,12.66,0.54,0.59,0.3
"474","Southern Italy",13.49,1.61,2.17,69.97,11.38,0.31,0.62,0.23
"475","Southern Italy",10.65,0.45,2.45,77.79,6.96,0.47,0.82,0.38
"476","Sardinia",10.49,0.96,2.19,73.03,11.68,0.22,0.47,0.02
"477","Northern Italy",11.15,0.3,2.25,79.55,6,0.55,0.15,0.02
"478","Northern Italy",10.1,0.9,2.1,77.2,9.7,0,0,0.02
"479","Northern Italy",11.8,1,1.9,75.2,8.2,0.5,1,0.01
"480","Southern Italy",13.12,1.31,2.59,71.67,9.39,0.41,0.69,0.2
"481","Southern Italy",12.9,1.57,1.92,70,12.63,0.26,0.51,0.19
"482","Southern Italy",16.2,2.55,1.66,66.28,12.12,0.29,0.62,0.27
"483","Southern Italy",13.99,1.69,1.71,70.11,11,0.36,0.72,0.16
"484","Southern Italy",12.86,1.92,2.03,71.32,10.53,0.38,0.65,0.28
"485","Sardinia",11.33,1.1,2.41,70.8,13.42,0.21,0.68,0.03
"486","Sardinia",10.76,0.95,2.04,74.08,11.3,0.27,0.79,0.02
"487","Sardinia",11.76,0.75,2.05,73.96,11.07,0.33,0.74,0.02
"488","Southern Italy",13.03,1.38,2.12,71.7,10.16,0.34,0.69,0.25
"489","Southern Italy",14.12,2.07,2.08,68.22,12.39,0.36,0.51,0.28
"490","Southern Italy",13.14,1.4,2.07,70.2,12.2,0.28,0.59,0.12
"491","Southern Italy",12.64,1.67,1.66,71.3,11.87,0.22,0.52,0.12
"492","Southern Italy",13.35,1.59,1.97,69.74,12.2,0.36,0.6,0.17
"493","Southern Italy",8.75,0.52,2.43,80.18,6.55,0.41,0.79,0.32
"494","Southern Italy",14.51,2,2.08,69.8,10.06,0.3,0.62,0.31
"495","Southern Italy",12.19,1.67,1.71,70.87,12.54,0.35,0.5,0.16
"496","Sardinia",11.19,0.81,2.19,74.09,10.57,0.33,0.81,0.02
"497","Southern Italy",13.6,1.63,1.76,69.01,12.8,0.28,0.65,0.27
"498","Southern Italy",9.22,0.66,2.64,79.9,6.18,0.49,0.56,0.29
"499","Southern Italy",13.69,2.06,2.03,69.53,11.68,0.35,0.5,0.16
"500","Southern Italy",9.16,0.52,2.81,78.7,6.94,0.42,0.64,0.58
"501","Northern Italy",11.2,1,2.6,77.2,6.8,0.3,0.8,0.02
"502","Northern Italy",12.2,0.8,2.4,76.1,7.6,0.3,0.6,0.02
"503","Southern Italy",13.59,1.15,2.46,72.34,8.74,0.45,0.63,0.18
"504","Sardinia",11.4,0.93,2.41,73.24,10.98,0.23,0.74,0.01
"505","Southern Italy",13.23,1.6,2.05,69.11,12.98,0.24,0.5,0.17
"506","Southern Italy",14.13,1.93,2.08,68.75,12.02,0.3,0.6,0.18
"507","Southern Italy",14.95,2.37,2.36,65.71,13.18,0.32,0.58,0.26
"508","Northern Italy",9.7,0.9,2.2,77,10.2,0,0,0.03
"509","Southern Italy",13.99,1.8,2.32,68.55,11.9,0.32,0.66,0.22
"510","Southern Italy",13.34,1.53,2.19,69.28,12.14,0.33,0.66,0.24
"511","Sardinia",11.78,0.89,2.01,73.81,10.99,0.34,0.87,0.02
"512","Southern Italy",16.93,2.36,1.74,64.99,12.04,0.51,1.02,0.37
"513","Sardinia",11.22,1.04,2.41,71.45,13.13,0.15,0.58,0.01
"514","Northern Italy",10.9,0.9,2.9,77.1,8,0.1,0,0.02
"515","Southern Italy",14.03,1.73,2.09,68.43,12.1,0.33,0.63,0.33
"516","Southern Italy",13.36,1.85,2.23,69.56,11.55,0.56,0.73,0.16
"517","Southern Italy",13.36,1.2,3.18,70.83,9.15,0.5,0.7,0.38
"518","Sardinia",11.03,1.09,2.2,73.35,11.4,0.28,0.59,0.02
"519","Northern Italy",11.6,0.7,2.1,78.7,5.8,0.3,0.8,0.03
"520","Southern Italy",9.66,0.57,2.4,79.52,6.19,0.5,0.78,0.35
"521","Northern Italy",10.75,0.7,1.9,79.75,6.05,0.28,0.27,0.03
"522","Southern Italy",14.32,1.52,2.81,70.29,9.49,0.39,0.55,0.25
"523","Southern Italy",13.82,1.1,2.68,72.41,8.28,0.39,0.6,0.3
"524","Southern Italy",11.94,1.35,2.63,72.77,8.89,0.44,0.95,0.41
"525","Sardinia",11.52,1.11,2.38,70.8,13.72,0.25,0.81,0.02
"526","Sardinia",10.8,0.98,2.19,73.71,11.25,0.33,0.78,0.01
"527","Northern Italy",10.98,0.54,2.02,79.45,5.95,0.42,0.32,0.02
"528","Southern Italy",12.78,0.69,2.05,73.44,9.57,0.45,0.7,0.28
"529","Sardinia",11.04,1.03,2.33,73.22,11.47,0.27,0.61,0.02
"530","Southern Italy",12.54,1.51,2.05,73.19,9.47,0.28,0.54,0.23
"531","Northern Italy",10.85,0.7,1.8,79.55,6.05,0.2,0.5,0.01
"532","Northern Italy",11.5,0.7,2.2,78.5,6.2,0.2,0.4,0.02
"533","Northern Italy",10.6,1,2.7,77.4,8.1,0.1,0.1,0.03
"534","Northern Italy",10.6,1.4,2.4,76.8,8.3,0.1,0.4,0.02
"535","Southern Italy",12.97,1.53,1.77,70.04,12.6,0.35,0.6,0.16
"536","Southern Italy",13.69,1.8,1.81,70,11.3,0.39,0.45,0.24
"537","Sardinia",11.18,0.85,1.99,74.15,10.6,0.36,0.86,0.03
"538","Southern Italy",12.07,1.51,1.56,71.59,12.34,0.27,0.51,0.14
"539","Southern Italy",14.98,1.7,1.95,68.04,12.06,0.35,0.66,0.23
"540","Southern Italy",13.87,1.82,2.06,71,10.2,0.34,0.54,0.17
"541","Northern Italy",11.8,0.9,2.5,75.2,8,0.5,1,0.02
"542","Sardinia",12.01,0.87,2.38,69.9,13.83,0.25,0.75,0.03
"543","Southern Italy",11.53,0.74,3.16,75.93,7.05,0.42,0.64,0.32
"544","Northern Italy",10.2,0.9,2.4,78,8.5,0,0,0.02
"545","Northern Italy",10.6,1.4,2.7,76.2,8.8,0.1,0.2,0.01
"546","Sardinia",10.47,0.96,2.36,73.99,11.07,0.32,0.8,0.03
"547","Southern Italy",14.56,1.79,2.4,67.38,12.67,0.41,0.65,0.14
"548","Northern Italy",10.6,1.2,2.1,76,10.1,0,0,0.01
"549","Northern Italy",10.9,0.6,2.2,78.9,6.7,0.1,0.6,0.02
"550","Sardinia",11.31,0.87,2.33,71.44,13.07,0.25,0.72,0.03
"551","Northern Italy",10.4,0.9,2.5,77.8,8.2,0.1,0.1,0.01
"552","Southern Italy",11.87,1.39,1.85,74.27,9.52,0.29,0.56,0.22
"553","Southern Italy",12.93,1.56,1.91,71.01,11.11,0.32,0.6,0.31
"554","Sardinia",11.03,0.81,2.08,73.1,11.77,0.3,0.9,0.03
"555","Northern Italy",12.2,1,2.4,78.9,5.3,0,0.1,0.02
"556","Sardinia",11.1,0.91,2.01,73.18,11.85,0.24,0.74,0.02
"557","Southern Italy",13.78,1.11,2.72,71.27,9.4,0.46,0.64,0.23
"558","Sardinia",11.08,0.92,2.31,73.67,11.1,0.29,0.62,0.03
"559","Northern Italy",10.9,0.9,2.5,76.8,7.6,0.6,0.8,0.01
"560","Northern Italy",11.2,0.8,2.6,77.5,6.8,0.3,0.8,0.03
"561","Northern Italy",11,0.8,2.15,79.3,5.35,0.45,0.6,0.02
"562","Southern Italy",13.04,1.59,2.34,70.19,11.74,0.38,0.53,0.19
"563","Southern Italy",13.06,1.49,2.26,70.82,10.97,0.33,0.61,0.24
"564","Southern Italy",14.04,1.34,2.1,71.1,9.23,0.4,1.01,0.43
"565","Southern Italy",13.23,0.96,3,73.51,7.57,0.47,0.54,0.26
"566","Southern Italy",9.93,0.58,2.67,77.43,7.73,0.41,0.62,0.44
"567","Southern Italy",12.84,0.93,2.65,72.35,8.93,0.43,0.77,0.46
"568","Northern Italy",11.1,0.15,2.1,79.9,5.7,0.5,0.2,0.02
"569","Northern Italy",11.1,0.7,2.4,78.2,6.7,0.2,0.7,0.03
"570","Southern Italy",13.99,1.87,1.91,68.61,12.33,0.38,0.6,0.17
"571","Northern Italy",10.2,1,2.7,77.7,7.1,0.4,0.9,0.01
"572","Northern Italy",10.85,0.7,1.85,79.55,6,0.25,0.55,0.01
